onset	duration	trial_type	response_time	stim_file
6.0138	3.0004	animal2r5ext_st	N/A	animal2r5ext_st.mat
9.0203	3.0005	vehicle3r4ext_st	N/A	vehicle3r4ext_st.mat
12.027	3.0006	fruits2r2ext_st	N/A	fruits2r2ext_st.mat
18.04	3.0004.1	face5r3ext_st	N/A	face5r3ext_st.mat
21.046	3.0006.1	animal4r1ext_st	N/A	animal4r1ext_st.mat
24.053	3.0006.2	face2r3ext_st	N/A	face2r3ext_st.mat
30.066	3.0004.2	fruits1r5ext_st	N/A	fruits1r5ext_st.mat
36.079	3.0003	vehicle3r2ext_st	N/A	vehicle3r2ext_st.mat
39.086	3.0005.1	chairs3r1ext_st	N/A	chairs3r1ext_st.mat
42.092	3.0004.3	fruits3r5ext_st	N/A	fruits3r5ext_st.mat
48.106	3.0003.1	animal1r2ext_st	N/A	animal1r2ext_st.mat
51.112	3.0005.2	animal3r3ext_st	N/A	animal3r3ext_st.mat
54.119	3.0005.3	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
57.125	3.0005.4	animal4r5ext_st	N/A	animal4r5ext_st.mat
60.132	3.0005.5	fruits3r2ext_st	N/A	fruits3r2ext_st.mat
63.138	3.0005.6	animal2r4ext_st	N/A	animal2r4ext_st.mat
66.145	3.0005.7	chairs3r3ext_st	N/A	chairs3r3ext_st.mat
69.151	3.0006.3	animal4r2ext_st	N/A	animal4r2ext_st.mat
72.158	3.0005.8	vehicle4r2ext_st	N/A	vehicle4r2ext_st.mat
75.164	3.0005.9	animal5r5ext_st	N/A	animal5r5ext_st.mat
78.171	3.0005.10	face5r5ext_st	N/A	face5r5ext_st.mat
81.178	3.0004.4	animal1r3ext_st	N/A	animal1r3ext_st.mat
87.191	3.0003.2	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
90.197	3.0005.11	chairs4r5ext_st	N/A	chairs4r5ext_st.mat
93.204	3.0005.12	fruits5r5ext_st	N/A	fruits5r5ext_st.mat
96.21	3.0005.13	vehicle4r5ext_st	N/A	vehicle4r5ext_st.mat
102.22	3.0004.5	face5r1ext_st	N/A	face5r1ext_st.mat
105.23	3.0005.14	vehicle4r4ext_st	N/A	vehicle4r4ext_st.mat
108.24	3.0005.15	face3r2ext_st	N/A	face3r2ext_st.mat
114.25	3.0004.6	vehicle3r3ext_st	N/A	vehicle3r3ext_st.mat
117.26	3.0004.7	face1r5ext_st	N/A	face1r5ext_st.mat
120.26	3.0005.16	face1r4ext_st	N/A	face1r4ext_st.mat
123.27	3.0005.17	chairs1r1ext_st	N/A	chairs1r1ext_st.mat
129.28	3.0003.3	chairs4r4ext_st	N/A	chairs4r4ext_st.mat
135.3	3.0004.8	animal1r5ext_st	N/A	animal1r5ext_st.mat
138.3	3.0005.18	face2r2ext_st	N/A	face2r2ext_st.mat
141.31	3.0005.19	fruits4r1ext_st	N/A	fruits4r1ext_st.mat
144.32	3.0005.20	face4r5ext_st	N/A	face4r5ext_st.mat
147.32	3.0006.4	animal2r2ext_st	N/A	animal2r2ext_st.mat
150.33	3.0005.21	face3r1ext_st	N/A	face3r1ext_st.mat
153.34	3.0004.9	vehicle2r5ext_st	N/A	vehicle2r5ext_st.mat
156.34	3.0005.22	animal1r1ext_st	N/A	animal1r1ext_st.mat
162.35	3.0003.4	face3r4ext_st	N/A	face3r4ext_st.mat
165.36	3.0005.23	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
168.37	3.0005.24	vehicle3r1ext_st	N/A	vehicle3r1ext_st.mat
171.37	3.0005.25	chairs4r1ext_st	N/A	chairs4r1ext_st.mat
177.39	3.0004.10	fruits5r4ext_st	N/A	fruits5r4ext_st.mat
180.39	3.0005.26	chairs4r2ext_st	N/A	chairs4r2ext_st.mat
186.41	3.0037	animal5r1ext_st	N/A	animal5r1ext_st.mat
189.43	3.0004.11	chairs3r5ext_st	N/A	chairs3r5ext_st.mat
192.44	3.0005.27	vehicle5r2ext_st	N/A	vehicle5r2ext_st.mat
195.44	3.0005.28	face2r5ext_st	N/A	face2r5ext_st.mat
201.46	3.0004.12	animal2r3ext_st	N/A	animal2r3ext_st.mat
207.47	3.0003.5	vehicle1r4ext_st	N/A	vehicle1r4ext_st.mat
210.48	3.0005.29	animal3r4ext_st	N/A	animal3r4ext_st.mat
213.48	3.0006.5	face5r2ext_st	N/A	face5r2ext_st.mat
216.49	3.0005.30	vehicle1r5ext_st	N/A	vehicle1r5ext_st.mat
222.5	3.0004.13	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
225.51	3.0006.6	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
228.52	3.0005.31	face4r2ext_st	N/A	face4r2ext_st.mat
231.52	3.0005.32	vehicle1r1ext_st	N/A	vehicle1r1ext_st.mat
234.53	3.0005.33	animal1r4ext_st	N/A	animal1r4ext_st.mat
240.54	3.0004.14	animal3r5ext_st	N/A	animal3r5ext_st.mat
246.56	3.0003.6	animal4r4ext_st	N/A	animal4r4ext_st.mat
252.57	3.0004.15	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
255.57	3.0005.34	fruits2r3ext_st	N/A	fruits2r3ext_st.mat
258.58	3.0006.7	fruits1r1ext_st	N/A	fruits1r1ext_st.mat
261.59	3.0005.35	chairs5r1ext_st	N/A	chairs5r1ext_st.mat
267.6	3.0004.16	fruits4r4ext_st	N/A	fruits4r4ext_st.mat
270.61	3.0004.17	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
273.61	3.0005.36	chairs2r4ext_st	N/A	chairs2r4ext_st.mat
276.62	3.0005.37	face3r3ext_st	N/A	face3r3ext_st.mat
279.63	3.0005.38	animal5r2ext_st	N/A	animal5r2ext_st.mat
282.63	3.0005.39	vehicle2r3ext_st	N/A	vehicle2r3ext_st.mat
285.64	3.0006.8	animal4r3ext_st	N/A	animal4r3ext_st.mat
288.65	3.0005.40	animal3r2ext_st	N/A	animal3r2ext_st.mat
291.65	3.0005.41	animal2r1ext_st	N/A	animal2r1ext_st.mat
294.66	3.0006.9	chairs2r2ext_st	N/A	chairs2r2ext_st.mat
297.67	3.0005.42	vehicle2r1ext_st	N/A	vehicle2r1ext_st.mat
300.67	3.0004.18	fruits5r1ext_st	N/A	fruits5r1ext_st.mat
303.68	3.0005.43	animal5r3ext_st	N/A	animal5r3ext_st.mat
306.69	3.0005.44	face2r4ext_st	N/A	face2r4ext_st.mat
312.7	3.0004.19	vehicle1r2ext_st	N/A	vehicle1r2ext_st.mat
315.71	3.0005.45	vehicle5r4ext_st	N/A	vehicle5r4ext_st.mat
321.72	3.0004.20	fruits4r2ext_st	N/A	fruits4r2ext_st.mat
324.73	3.0005.46	animal5r4ext_st	N/A	animal5r4ext_st.mat
327.73	3.0005.47	fruits2r1ext_st	N/A	fruits2r1ext_st.mat
333.75	3.0004.21	fruits5r2ext_st	N/A	fruits5r2ext_st.mat
336.75	3.0006.10	face5r4ext_st	N/A	face5r4ext_st.mat
339.76	3.0005.48	vehicle2r4ext_st	N/A	vehicle2r4ext_st.mat
342.76	3.0005.49	chairs5r5ext_st	N/A	chairs5r5ext_st.mat
345.77	3.0004.22	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
351.78	3.0004.23	fruits3r3ext_st	N/A	fruits3r3ext_st.mat
357.8	3.0004.24	chairs1r5ext_st	N/A	chairs1r5ext_st.mat
360.8	3.0005.50	chairs5r3ext_st	N/A	chairs5r3ext_st.mat
366.82	3.0004.25	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
369.82	3.0006.11	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
372.83	3.0005.51	chairs1r3ext_st	N/A	chairs1r3ext_st.mat
378.84	3.0004.26	animal3r1ext_st	N/A	animal3r1ext_st.mat
384.86	3.0005.52	fruits4r5ext_st	N/A	fruits4r5ext_st.mat
387.86	3.0005.53	fruits1r2ext_st	N/A	fruits1r2ext_st.mat
393.88	3.0003.7	chairs3r4ext_st	N/A	chairs3r4ext_st.mat
396.88	3.0005.54	face1r3ext_st	N/A	face1r3ext_st.mat
399.89	3.0005.55	chairs5r4ext_st	N/A	chairs5r4ext_st.mat
402.9	3.0004.27	vehicle4r3ext_st	N/A	vehicle4r3ext_st.mat
405.9	3.0006.12	face1r2ext_st	N/A	face1r2ext_st.mat
408.91	3.0005.56	face1r1ext_st	N/A	face1r1ext_st.mat
411.92	3.0005.57	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
414.92	3.0006.13	vehicle5r5ext_st	N/A	vehicle5r5ext_st.mat
417.93	3.0005.58	fruits4r3ext_st	N/A	fruits4r3ext_st.mat
420.94	3.0005.59	vehicle2r2ext_st	N/A	vehicle2r2ext_st.mat
423.94	3.0005.60	face2r1ext_st	N/A	face2r1ext_st.mat
426.95	3.0005.61	chairs5r2ext_st	N/A	chairs5r2ext_st.mat
429.95	3.0005.62	chairs1r2ext_st	N/A	chairs1r2ext_st.mat
435.97	3.0003.8	vehicle5r3ext_st	N/A	vehicle5r3ext_st.mat
438.97	3.0006.14	chairs1r4ext_st	N/A	chairs1r4ext_st.mat
441.98	3.0005.63	chairs4r3ext_st	N/A	chairs4r3ext_st.mat
447.99	3.0004.28	face4r1ext_st	N/A	face4r1ext_st.mat
451	3.0005.64	vehicle5r1ext_st	N/A	vehicle5r1ext_st.mat
454.01	3.0005.65	face3r5ext_st	N/A	face3r5ext_st.mat
457.01	3.0004.29	vehicle3r5ext_st	N/A	vehicle3r5ext_st.mat
460.02	3.0005.66	face4r4ext_st	N/A	face4r4ext_st.mat
463.03	3.0005.67	fruits2r5ext_st	N/A	fruits2r5ext_st.mat
466.03	3.0005.68	face4r3ext_st	N/A	face4r3ext_st.mat
469.04	3.0005.69	vehicle1r3ext_st	N/A	vehicle1r3ext_st.mat
